

------ ******* ------ New Log ------ ******* ------
/Storage2T/yanhanshu/Projects/NeuralODE-Robustness/codes/mnist_0821/main_ode_gaus.py
isTrain: True
isODE: True
isSS: False
isRandom: True
device_ids: [1]
rtol: 0.001
atol: 0.001
adjoint: False
step_size: 0.1
TimePeriod: [0.0, 1.0]
exp_name: debug_MNIST_ODE_gaus_1
resume: False
start_epoch: 0
end_epoch: 100
data_aug: True
batch_size: 128
milestones: [30, 60, 90]
lr: 0.001
weight_decay: 0.0005
gamma: 0.2
dir_logging: ../../checkpoints/mnist_0821
---- Model ----
ODENet_MNIST(
  (net): Sequential(
    (0): Conv2d(1, 64, kernel_size=(3, 3), stride=(1, 1))
    (1): GroupNorm(32, 64, eps=1e-05, affine=True)
    (2): ReLU(inplace)
    (3): Conv2d(64, 64, kernel_size=(4, 4), stride=(2, 2), padding=(1, 1))
    (4): GroupNorm(32, 64, eps=1e-05, affine=True)
    (5): ReLU(inplace)
    (6): ODEBlock(
      (odefunc): ODEfunc(
        (relu): ReLU(inplace)
        (conv1): ConcatConv2d(
          (_layer): Conv2d(65, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
        )
        (norm1): GroupNorm(32, 64, eps=1e-05, affine=True)
        (conv2): ConcatConv2d(
          (_layer): Conv2d(65, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
        )
        (norm2): GroupNorm(32, 64, eps=1e-05, affine=True)
      )
    )
    (7): AdaptiveAvgPool2d(output_size=(1, 1))
    (8): Flatten()
    (9): Linear(in_features=64, out_features=10, bias=True)
  )
)
Number of parameters: 142410
---- Training ----
Epoch 0031/0100 | Time 29.224s | Train Acc 0.9947 | Test Acc 0.9940 | Best epoch @ 0031 with Acc 0.9940 | lr: 0.000200
Epoch 0032/0100 | Time 29.376s | Train Acc 0.9953 | Test Acc 0.9939 | Best epoch @ 0031 with Acc 0.9940 | lr: 0.000200
Epoch 0033/0100 | Time 29.376s | Train Acc 0.9956 | Test Acc 0.9928 | Best epoch @ 0031 with Acc 0.9940 | lr: 0.000200
Epoch 0034/0100 | Time 28.946s | Train Acc 0.9967 | Test Acc 0.9938 | Best epoch @ 0031 with Acc 0.9940 | lr: 0.000200
Epoch 0035/0100 | Time 29.830s | Train Acc 0.9961 | Test Acc 0.9941 | Best epoch @ 0035 with Acc 0.9941 | lr: 0.000200
Epoch 0036/0100 | Time 29.293s | Train Acc 0.9941 | Test Acc 0.9922 | Best epoch @ 0035 with Acc 0.9941 | lr: 0.000200
Epoch 0037/0100 | Time 29.279s | Train Acc 0.9941 | Test Acc 0.9928 | Best epoch @ 0035 with Acc 0.9941 | lr: 0.000200
Epoch 0038/0100 | Time 29.368s | Train Acc 0.9945 | Test Acc 0.9929 | Best epoch @ 0035 with Acc 0.9941 | lr: 0.000200
Epoch 0039/0100 | Time 29.533s | Train Acc 0.9964 | Test Acc 0.9947 | Best epoch @ 0039 with Acc 0.9947 | lr: 0.000200
Epoch 0040/0100 | Time 29.373s | Train Acc 0.9964 | Test Acc 0.9932 | Best epoch @ 0039 with Acc 0.9947 | lr: 0.000200
Epoch 0041/0100 | Time 29.446s | Train Acc 0.9964 | Test Acc 0.9939 | Best epoch @ 0039 with Acc 0.9947 | lr: 0.000200
Epoch 0042/0100 | Time 29.451s | Train Acc 0.9962 | Test Acc 0.9934 | Best epoch @ 0039 with Acc 0.9947 | lr: 0.000200
Epoch 0043/0100 | Time 29.122s | Train Acc 0.9951 | Test Acc 0.9926 | Best epoch @ 0039 with Acc 0.9947 | lr: 0.000200
